"Parámetro","Fecha","Hora","Valor","Unidad"
"PM10","2019-08-01","0:00 - 1:00","63","µg/m³"
"PM10","2019-08-01","1:00 - 2:00","41","µg/m³"
"PM10","2019-08-01","2:00 - 3:00","46","µg/m³"
"PM10","2019-08-01","3:00 - 4:00","39","µg/m³"
"PM10","2019-08-01","4:00 - 5:00","46","µg/m³"
"PM10","2019-08-01","5:00 - 6:00","42","µg/m³"
"PM10","2019-08-01","6:00 - 7:00","45","µg/m³"
"PM10","2019-08-01","7:00 - 8:00","48","µg/m³"
"PM10","2019-08-01","8:00 - 9:00","58","µg/m³"
"PM10","2019-08-01","9:00 - 10:00","65","µg/m³"
"PM10","2019-08-01","10:00 - 11:00","58","µg/m³"
"PM10","2019-08-01","11:00 - 12:00","70","µg/m³"
"PM10","2019-08-01","12:00 - 13:00","81","µg/m³"
"PM10","2019-08-01","13:00 - 14:00","80","µg/m³"
"PM10","2019-08-01","14:00 - 15:00","76","µg/m³"
"PM10","2019-08-01","15:00 - 16:00","69","µg/m³"
"PM10","2019-08-01","16:00 - 17:00","70","µg/m³"
"PM10","2019-08-01","17:00 - 18:00","75","µg/m³"
"PM10","2019-08-01","18:00 - 19:00","75","µg/m³"
"PM10","2019-08-01","19:00 - 20:00","64","µg/m³"
"PM10","2019-08-01","20:00 - 21:00","53","µg/m³"
"PM10","2019-08-01","21:00 - 22:00","54","µg/m³"
"PM10","2019-08-01","22:00 - 23:00","135","µg/m³"
"PM10","2019-08-02","23:00 - 0:00","60","µg/m³"
"PM10","2019-08-02","0:00 - 1:00","31","µg/m³"
"PM10","2019-08-02","1:00 - 2:00","23","µg/m³"
"PM10","2019-08-02","2:00 - 3:00","25","µg/m³"
"PM10","2019-08-02","3:00 - 4:00","25","µg/m³"
"PM10","2019-08-02","4:00 - 5:00","26","µg/m³"
"PM10","2019-08-02","5:00 - 6:00","24","µg/m³"
"PM10","2019-08-02","6:00 - 7:00","41","µg/m³"
"PM10","2019-08-02","7:00 - 8:00","49","µg/m³"
"PM10","2019-08-02","8:00 - 9:00","47","µg/m³"
"PM10","2019-08-02","9:00 - 10:00","50","µg/m³"
"PM10","2019-08-02","10:00 - 11:00","44","µg/m³"
"PM10","2019-08-02","11:00 - 12:00","47","µg/m³"
"PM10","2019-08-02","12:00 - 13:00","56","µg/m³"
"PM10","2019-08-02","13:00 - 14:00","58","µg/m³"
"PM10","2019-08-02","14:00 - 15:00","55","µg/m³"
"PM10","2019-08-02","15:00 - 16:00","51","µg/m³"
"PM10","2019-08-02","16:00 - 17:00","59","µg/m³"
"PM10","2019-08-02","17:00 - 18:00","56","µg/m³"
"PM10","2019-08-02","18:00 - 19:00","50","µg/m³"
"PM10","2019-08-02","19:00 - 20:00","47","µg/m³"
"PM10","2019-08-02","20:00 - 21:00","46","µg/m³"
"PM10","2019-08-02","21:00 - 22:00","44","µg/m³"
"PM10","2019-08-02","22:00 - 23:00","40","µg/m³"
"PM10","2019-08-03","23:00 - 0:00","66","µg/m³"
"PM10","2019-08-03","6:00 - 7:00","44","µg/m³"
"PM10","2019-08-03","7:00 - 8:00","65","µg/m³"
"PM10","2019-08-03","8:00 - 9:00","62","µg/m³"
"PM10","2019-08-03","9:00 - 10:00","56","µg/m³"
"PM10","2019-08-03","10:00 - 11:00","54","µg/m³"
"PM10","2019-08-03","11:00 - 12:00","50","µg/m³"
"PM10","2019-08-03","12:00 - 13:00","40","µg/m³"
"PM10","2019-08-03","13:00 - 14:00","60","µg/m³"
"PM10","2019-08-03","14:00 - 15:00","50","µg/m³"
"PM10","2019-08-03","15:00 - 16:00","47","µg/m³"
"PM10","2019-08-03","16:00 - 17:00","48","µg/m³"
"PM10","2019-08-03","17:00 - 18:00","40","µg/m³"
"PM10","2019-08-03","18:00 - 19:00","40","µg/m³"
"PM10","2019-08-03","19:00 - 20:00","44","µg/m³"
"PM10","2019-08-03","20:00 - 21:00","39","µg/m³"
"PM10","2019-08-03","21:00 - 22:00","50","µg/m³"
"PM10","2019-08-03","22:00 - 23:00","46","µg/m³"
"PM10","2019-08-04","23:00 - 0:00","47","µg/m³"
"PM10","2019-08-04","0:00 - 1:00","34","µg/m³"
"PM10","2019-08-04","1:00 - 2:00","28","µg/m³"
"PM10","2019-08-04","2:00 - 3:00","29","µg/m³"
"PM10","2019-08-04","3:00 - 4:00","28","µg/m³"
"PM10","2019-08-04","4:00 - 5:00","28","µg/m³"
"PM10","2019-08-04","5:00 - 6:00","27","µg/m³"
"PM10","2019-08-04","6:00 - 7:00","28","µg/m³"
"PM10","2019-08-04","7:00 - 8:00","25","µg/m³"
"PM10","2019-08-04","8:00 - 9:00","31","µg/m³"
"PM10","2019-08-04","9:00 - 10:00","56","µg/m³"
"PM10","2019-08-04","10:00 - 11:00","43","µg/m³"
"PM10","2019-08-04","11:00 - 12:00","29","µg/m³"
"PM10","2019-08-04","12:00 - 13:00","53","µg/m³"
"PM10","2019-08-04","13:00 - 14:00","39","µg/m³"
"PM10","2019-08-04","14:00 - 15:00","52","µg/m³"
"PM10","2019-08-04","15:00 - 16:00","41","µg/m³"
"PM10","2019-08-04","16:00 - 17:00","44","µg/m³"
"PM10","2019-08-04","17:00 - 18:00","38","µg/m³"
"PM10","2019-08-04","18:00 - 19:00","35","µg/m³"
"PM10","2019-08-04","19:00 - 20:00","32","µg/m³"
"PM10","2019-08-04","20:00 - 21:00","47","µg/m³"
"PM10","2019-08-04","21:00 - 22:00","44","µg/m³"
"PM10","2019-08-04","22:00 - 23:00","49","µg/m³"
"PM10","2019-08-05","23:00 - 0:00","109","µg/m³"
"PM10","2019-08-05","0:00 - 1:00","66","µg/m³"
"PM10","2019-08-05","1:00 - 2:00","28","µg/m³"
"PM10","2019-08-05","2:00 - 3:00","19","µg/m³"
"PM10","2019-08-05","3:00 - 4:00","21","µg/m³"
"PM10","2019-08-05","4:00 - 5:00","26","µg/m³"
"PM10","2019-08-05","5:00 - 6:00","37","µg/m³"
"PM10","2019-08-05","6:00 - 7:00","32","µg/m³"
"PM10","2019-08-05","7:00 - 8:00","40","µg/m³"
"PM10","2019-08-05","8:00 - 9:00","53","µg/m³"
"PM10","2019-08-05","9:00 - 10:00","77","µg/m³"
"PM10","2019-08-05","10:00 - 11:00","55","µg/m³"
"PM10","2019-08-05","11:00 - 12:00","47","µg/m³"
"PM10","2019-08-05","12:00 - 13:00","58","µg/m³"
"PM10","2019-08-05","13:00 - 14:00","52","µg/m³"
"PM10","2019-08-05","14:00 - 15:00","48","µg/m³"
"PM10","2019-08-05","15:00 - 16:00","102","µg/m³"
"PM10","2019-08-05","16:00 - 17:00","87","µg/m³"
"PM10","2019-08-05","17:00 - 18:00","56","µg/m³"
"PM10","2019-08-05","18:00 - 19:00","50","µg/m³"
"PM10","2019-08-05","19:00 - 20:00","46","µg/m³"
