"Parámetro","Fecha","Hora","Valor","Unidad"
"PM10","2019-06-01","0:00 - 1:00","15","µg/m³"
"PM10","2019-06-01","1:00 - 2:00","12","µg/m³"
"PM10","2019-06-01","2:00 - 3:00","8","µg/m³"
"PM10","2019-06-01","3:00 - 4:00","9","µg/m³"
"PM10","2019-06-01","4:00 - 5:00","15","µg/m³"
"PM10","2019-06-01","5:00 - 6:00","13","µg/m³"
"PM10","2019-06-01","6:00 - 7:00","22","µg/m³"
"PM10","2019-06-01","7:00 - 8:00","18","µg/m³"
"PM10","2019-06-01","8:00 - 9:00","21","µg/m³"
"PM10","2019-06-01","9:00 - 10:00","13","µg/m³"
"PM10","2019-06-01","10:00 - 11:00","19","µg/m³"
"PM10","2019-06-01","11:00 - 12:00","31","µg/m³"
"PM10","2019-06-01","12:00 - 13:00","25","µg/m³"
"PM10","2019-06-01","13:00 - 14:00","19","µg/m³"
"PM10","2019-06-01","14:00 - 15:00","16","µg/m³"
"PM10","2019-06-01","15:00 - 16:00","11","µg/m³"
"PM10","2019-06-01","16:00 - 17:00","18","µg/m³"
"PM10","2019-06-01","17:00 - 18:00","19","µg/m³"
"PM10","2019-06-01","18:00 - 19:00","22","µg/m³"
"PM10","2019-06-01","19:00 - 20:00","13","µg/m³"
"PM10","2019-06-01","20:00 - 21:00","13","µg/m³"
"PM10","2019-06-01","21:00 - 22:00","15","µg/m³"
"PM10","2019-06-01","22:00 - 23:00","22","µg/m³"
"PM10","2019-06-02","10:00 - 11:00","13","µg/m³"
"PM10","2019-06-02","11:00 - 12:00","21","µg/m³"
"PM10","2019-06-02","12:00 - 13:00","12","µg/m³"
"PM10","2019-06-02","13:00 - 14:00","16","µg/m³"
"PM10","2019-06-02","14:00 - 15:00","19","µg/m³"
"PM10","2019-06-02","15:00 - 16:00","13","µg/m³"
"PM10","2019-06-02","16:00 - 17:00","15","µg/m³"
"PM10","2019-06-02","17:00 - 18:00","19","µg/m³"
"PM10","2019-06-02","18:00 - 19:00","11","µg/m³"
"PM10","2019-06-02","19:00 - 20:00","25","µg/m³"
"PM10","2019-06-02","20:00 - 21:00","15","µg/m³"
"PM10","2019-06-02","21:00 - 22:00","11","µg/m³"
"PM10","2019-06-02","22:00 - 23:00","8","µg/m³"
"PM10","2019-06-03","23:00 - 0:00","16","µg/m³"
"PM10","2019-06-03","0:00 - 1:00","10","µg/m³"
"PM10","2019-06-03","1:00 - 2:00","10","µg/m³"
