"Parámetro","Fecha","Hora","Valor","Unidad"
"PM2.5","2016-06-01","23:00 - 0:00","5","µg/m³"
"PM2.5","2016-06-01","0:00 - 1:00","21","µg/m³"
"PM2.5","2016-06-01","3:00 - 4:00","6","µg/m³"
"PM2.5","2016-06-01","5:00 - 6:00","12","µg/m³"
"PM2.5","2016-06-01","11:00 - 12:00","22","µg/m³"
"PM2.5","2016-06-01","12:00 - 13:00","26","µg/m³"
"PM2.5","2016-06-01","13:00 - 14:00","19","µg/m³"
"PM2.5","2016-06-01","14:00 - 15:00","18","µg/m³"
"PM2.5","2016-06-01","15:00 - 16:00","25","µg/m³"
"PM2.5","2016-06-01","16:00 - 17:00","32","µg/m³"
"PM2.5","2016-06-01","17:00 - 18:00","40","µg/m³"
"PM2.5","2016-06-01","18:00 - 19:00","30","µg/m³"
"PM2.5","2016-06-01","19:00 - 20:00","6","µg/m³"
"PM2.5","2016-06-01","20:00 - 21:00","7","µg/m³"
"PM2.5","2016-06-01","22:00 - 23:00","8","µg/m³"
"PM2.5","2016-06-02","23:00 - 0:00","9","µg/m³"
"PM2.5","2016-06-02","0:00 - 1:00","10","µg/m³"
"PM2.5","2016-06-02","1:00 - 2:00","6","µg/m³"
"PM2.5","2016-06-02","3:00 - 4:00","16","µg/m³"
"PM2.5","2016-06-02","5:00 - 6:00","13","µg/m³"
"PM2.5","2016-06-02","6:00 - 7:00","24","µg/m³"
"PM2.5","2016-06-02","7:00 - 8:00","5","µg/m³"
"PM2.5","2016-06-02","10:00 - 11:00","6","µg/m³"
"PM2.5","2016-06-02","11:00 - 12:00","13","µg/m³"
"PM2.5","2016-06-02","12:00 - 13:00","9","µg/m³"
"PM2.5","2016-06-02","13:00 - 14:00","14","µg/m³"
"PM2.5","2016-06-02","17:00 - 18:00","29","µg/m³"
"PM2.5","2016-06-02","20:00 - 21:00","7","µg/m³"
"PM2.5","2016-06-02","22:00 - 23:00","28","µg/m³"
"PM2.5","2016-06-03","23:00 - 0:00","18","µg/m³"
"PM2.5","2016-06-03","0:00 - 1:00","13","µg/m³"
"PM2.5","2016-06-03","2:00 - 3:00","17","µg/m³"
"PM2.5","2016-06-03","3:00 - 4:00","28","µg/m³"
"PM2.5","2016-06-03","4:00 - 5:00","20","µg/m³"
"PM2.5","2016-06-03","5:00 - 6:00","9","µg/m³"
"PM2.5","2016-06-03","6:00 - 7:00","14","µg/m³"
"PM2.5","2016-06-03","7:00 - 8:00","7","µg/m³"
"PM2.5","2016-06-03","8:00 - 9:00","5","µg/m³"
"PM2.5","2016-06-03","9:00 - 10:00","24","µg/m³"
"PM2.5","2016-06-03","10:00 - 11:00","32","µg/m³"
"PM2.5","2016-06-03","11:00 - 12:00","28","µg/m³"
"PM2.5","2016-06-03","12:00 - 13:00","24","µg/m³"
"PM2.5","2016-06-03","13:00 - 14:00","14","µg/m³"
"PM2.5","2016-06-03","14:00 - 15:00","19","µg/m³"
"PM2.5","2016-06-03","15:00 - 16:00","25","µg/m³"
"PM2.5","2016-06-03","16:00 - 17:00","15","µg/m³"
"PM2.5","2016-06-03","17:00 - 18:00","25","µg/m³"
"PM2.5","2016-06-03","18:00 - 19:00","25","µg/m³"
"PM2.5","2016-06-03","19:00 - 20:00","23","µg/m³"
"PM2.5","2016-06-03","20:00 - 21:00","14","µg/m³"
"PM2.5","2016-06-03","21:00 - 22:00","24","µg/m³"
"PM2.5","2016-06-03","22:00 - 23:00","21","µg/m³"
"PM2.5","2016-06-04","23:00 - 0:00","26","µg/m³"
"PM2.5","2016-06-04","0:00 - 1:00","17","µg/m³"
"PM2.5","2016-06-04","1:00 - 2:00","10","µg/m³"
"PM2.5","2016-06-04","2:00 - 3:00","14","µg/m³"
"PM2.5","2016-06-04","3:00 - 4:00","11","µg/m³"
"PM2.5","2016-06-04","5:00 - 6:00","22","µg/m³"
"PM2.5","2016-06-04","6:00 - 7:00","22","µg/m³"
"PM2.5","2016-06-04","7:00 - 8:00","7","µg/m³"
"PM2.5","2016-06-04","8:00 - 9:00","17","µg/m³"
"PM2.5","2016-06-04","9:00 - 10:00","16","µg/m³"
"PM2.5","2016-06-04","10:00 - 11:00","6","µg/m³"
"PM2.5","2016-06-04","11:00 - 12:00","26","µg/m³"
"PM2.5","2016-06-04","12:00 - 13:00","23","µg/m³"
"PM2.5","2016-06-04","14:00 - 15:00","8","µg/m³"
"PM2.5","2016-06-04","16:00 - 17:00","5","µg/m³"
"PM2.5","2016-06-04","17:00 - 18:00","20","µg/m³"
"PM2.5","2016-06-04","19:00 - 20:00","21","µg/m³"
"PM2.5","2016-06-04","20:00 - 21:00","5","µg/m³"
"PM2.5","2016-06-04","21:00 - 22:00","18","µg/m³"
"PM2.5","2016-06-04","22:00 - 23:00","16","µg/m³"
"PM2.5","2016-06-05","23:00 - 0:00","13","µg/m³"
"PM2.5","2016-06-05","0:00 - 1:00","10","µg/m³"
"PM2.5","2016-06-05","1:00 - 2:00","17","µg/m³"
"PM2.5","2016-06-05","2:00 - 3:00","20","µg/m³"
"PM2.5","2016-06-05","3:00 - 4:00","23","µg/m³"
"PM2.5","2016-06-05","4:00 - 5:00","18","µg/m³"
"PM2.5","2016-06-05","5:00 - 6:00","16","µg/m³"
"PM2.5","2016-06-05","6:00 - 7:00","20","µg/m³"
"PM2.5","2016-06-05","7:00 - 8:00","16","µg/m³"
"PM2.5","2016-06-05","8:00 - 9:00","11","µg/m³"
"PM2.5","2016-06-05","11:00 - 12:00","11","µg/m³"
"PM2.5","2016-06-05","14:00 - 15:00","5","µg/m³"
"PM2.5","2016-06-05","15:00 - 16:00","5","µg/m³"
"PM2.5","2016-06-05","17:00 - 18:00","8","µg/m³"
"PM2.5","2016-06-05","19:00 - 20:00","16","µg/m³"
"PM2.5","2016-06-05","20:00 - 21:00","8","µg/m³"
"PM2.5","2016-06-05","21:00 - 22:00","16","µg/m³"
"PM2.5","2016-06-06","23:00 - 0:00","11","µg/m³"
"PM2.5","2016-06-06","0:00 - 1:00","18","µg/m³"
"PM2.5","2016-06-06","1:00 - 2:00","11","µg/m³"
"PM2.5","2016-06-06","2:00 - 3:00","10","µg/m³"
"PM2.5","2016-06-06","4:00 - 5:00","12","µg/m³"
"PM2.5","2016-06-06","5:00 - 6:00","6","µg/m³"
"PM2.5","2016-06-06","6:00 - 7:00","5","µg/m³"
"PM2.5","2016-06-06","8:00 - 9:00","8","µg/m³"
